cooling_features,cooling.map
"Electric, High Efficiency",1
"Electric, See Remarks, Attic Fan",1
"Electric, Wall/Window Unit(s)",1
ENERGY STAR Qualified Equipment,1
"ENERGY STAR Qualified Equipment, See Remarks",1
"Heat Pump, Central Air",1
"Heat Pump, Central Air, Zoned, Dual",1
"Refrigerator, Central",1
"Refrigerator, Central, Geothermal, Other",1
"Refrigerator, Central, Other",1
"Refrigerator, Central, Solar",1
"Refrigerator, Central, Solar, Wall",1
"Refrigerator, Central, Wall",1
"Refrigerator, Other",1
"Wall/Window Unit(s), Central Air",1
"Wall/Window Unit(s), Evaporative Cooling, Central Air",1
Ceiling Fan(s),2
"Ceiling Fan(s), ENERGY STAR Qualified Equipment",2
"Ceiling Fan(s), No Air Conditioning",2
"Ceiling Fan(s), No Air Conditioning, Whole House Fan",2
"Ceiling Fan(s), None",2
"Ceiling Fan(s), Wall/Window Unit(s)",2
"Ceiling Fan(s), Whole House Fan",2
"Ceiling Fan(s), Zoned",2
Ceiling Fans,2
"Ceiling Fans Pre-Wired, Heat Pump",2
"Ceiling Fans, Ceiling Fans Pre-Wired, Heat Pump",2
"Ceiling Fans, Evap Central",2
"Ceiling Fans, Heat Pump",2
"Ceiling Fans, Heat Pump, 2 Mini-splits",2
Cooling,2
Evap Central,2
"Evap Central, Evap Zone",2
"Evap Central, Master Cooler",2
Evap Window,2
Evaporative,2
Evaporative Cooling,2
"Evaporative Cooling, Electric",2
"Evaporative Cooling, Electric, See Remarks, Attic Fan",2
"Evaporative Cooling, See Remarks",2
"Evaporative Cooling, Wall/Window Unit(s)",2
"Evaporative Cooling, Whole House Fan",2
"Evaporative Cooling, Whole House Fan, See Remarks",2
"Evaporative, Other",2
"Evaporative, Solar",2
"Evaporative, Wall",2
No Air Conditioning,2
"No Air Conditioning, None",2
"No Air Conditioning, Other",2
None,2
"None, Attic Fan",2
"None, Ceiling Fan(s)",2
"None, Central",2
"None, ENERGY STAR Qualified Equipment",2
"None, Evaporative",2
"None, Other",2
"None, See Remarks",2
"None, Wall",2
"Other, None",2
"Other, Solar",2
"Other, Wall",2
"Other, Wall/Window Unit(s)",2
Refrigerator,2
"Refrigerator, Solar",2
"Refrigerator, Wall",2
Room Air,2
Wall,2
Wall/Window Unit(s),2
"Wall/Window Unit(s), Attic Fan",2
"Wall/Window Unit(s), Dual",2
"Wall/Window Unit(s), Electric",2
"Wall/Window Unit(s), Electric, Gas",2
"Wall/Window Unit(s), Evaporative Cooling",2
"Wall/Window Unit(s), Evaporative Cooling, See Remarks",2
"Wall/Window Unit(s), Gas",2
"Wall/Window Unit(s), Heat Pump",2
"Wall/Window Unit(s), High Efficiency, See Remarks",2
"Wall/Window Unit(s), None",2
"Wall/Window Unit(s), See Remarks",2
"Wall/Window Unit(s), SEER Rated 13-15",2
"Wall/Window Unit(s), Whole House Fan",2
Whole House Fan,2
"Whole House Fan, Attic Fan",2
Window Unit(s),2
Zoned,2
"Zoned, Attic Fan",2
"Zoned, Dual",2
"Zoned, Electric",2
"Zoned, Electric, High Efficiency",2
"Zoned, ENERGY STAR Qualified Equipment",2
"Zoned, Heat Pump",2
"Zoned, Heat Pump, Electric, ENERGY STAR Qualified Equipment, High Efficiency, SEER Rated 16+, See Remarks",2
"Zoned, High Efficiency",2
"Zoned, Wall/Window Unit(s)",2
"Zoned, Wall/Window Unit(s), Electric, High Efficiency",2
"Zoned, Whole House Fan",2
Attic Fan,2
Geothermal,3
"Geothermal, Wall",3
"Heat Pump, Electric",3
"Heat Pump, Multi Units, Other, See Remarks",3
"Heat Pump, SEER Rated 16+",3
"Heat Pump, Wall/Window Unit(s), Zoned",3
High Efficiency,3
"High Efficiency, See Remarks",3
Mini-split Master,3
Mini Split,3
